"","day","constant","nonLinear"
"585",585,50147.2031403337,80693.0388508714
"586",586,50233.0716388616,80739.8755746888
"587",587,50318.9401373896,80786.4969576275
"588",588,50404.8086359176,80832.9034958646
"589",589,50490.6771344455,80879.0956855773
"590",590,50576.5456329735,80925.0740229427
"591",591,50662.4141315015,80970.8390041379
"592",592,50748.2826300294,81016.3911253401
"593",593,50834.1511285574,81061.7308827265
"594",594,50920.0196270854,81106.8587724741
"595",595,51005.8881256133,81151.7752907601
"596",596,51091.7566241413,81196.4809337616
"597",597,51177.6251226693,81240.9761976558
"598",598,51263.4936211972,81285.2615786198
"599",599,51349.3621197252,81329.3375728308
"600",600,51435.2306182532,81373.2046764659
"601",601,51521.0991167812,81416.8633857023
"602",602,51606.9676153091,81460.314196717
"603",603,51692.8361138371,81503.5576056873
"604",604,51778.7046123651,81546.5941087901
"605",605,51864.573110893,81589.4242022028
"606",606,51950.441609421,81632.0483821025
"607",607,52036.310107949,81674.4671446662
"608",608,52122.1786064769,81716.6809860712
"609",609,52208.0471050049,81758.6904024944
"610",610,52293.9156035329,81800.4958901132
"611",611,52379.7841020608,81842.0979451047
"612",612,52465.6526005888,81883.4970636459
"613",613,52551.5210991168,81924.693741914
"614",614,52637.3895976447,81965.6884760862
"615",615,52723.2580961727,82006.4817623396
"616",616,52809.1265947007,82047.0740968513
"617",617,52894.9950932286,82087.4659757986
"618",618,52980.8635917566,82127.6578953584
"619",619,53066.7320902846,82167.650351708
"620",620,53152.6005888126,82207.4438410245
"621",621,53238.4690873405,82247.038859485
"622",622,53324.3375858685,82286.4359032667
"623",623,53410.2060843965,82325.6354685467
"624",624,53496.0745829244,82364.6380515022
"625",625,53581.9430814524,82403.4441483103
"626",626,53667.8115799804,82442.0542551481
"627",627,53753.6800785083,82480.4688681928
"628",628,53839.5485770363,82518.6884836215
"629",629,53925.4170755643,82556.7135976114
"630",630,54011.2855740922,82594.5447063395
"631",631,54097.1540726202,82632.1823059832
"632",632,54183.0225711482,82669.6268927193
"633",633,54268.8910696762,82706.8789627252
"634",634,54354.7595682041,82743.939012178
"635",635,54440.6280667321,82780.8075372547
"636",636,54526.4965652601,82817.4850341326
"637",637,54612.365063788,82853.9719989888
"638",638,54698.233562316,82890.2689280004
"639",639,54784.102060844,82926.3763173445
"640",640,54869.9705593719,82962.2946631984
"641",641,54955.8390578999,82998.024461739
"642",642,55041.7075564279,83033.5662091437
"643",643,55127.5760549558,83068.9204015894
"644",644,55213.4445534838,83104.0875352535
"645",645,55299.3130520118,83139.0681063129
"646",646,55385.1815505397,83173.8626109449
"647",647,55471.0500490677,83208.4715453265
"648",648,55556.9185475957,83242.8954056349
"649",649,55642.7870461237,83277.1346880473
"650",650,55728.6555446516,83311.1898887408
"651",651,55814.5240431796,83345.0615038925
"652",652,55900.3925417076,83378.7500296797
"653",653,55986.2610402355,83412.2559622793
"654",654,56072.1295387635,83445.5797978686
"655",655,56157.9980372915,83478.7220326246
"656",656,56243.8665358194,83511.6831627246
"657",657,56329.7350343474,83544.4636843457
"658",658,56415.6035328754,83577.064093665
"659",659,56501.4720314033,83609.4848868597
"660",660,56587.3405299313,83641.7265601068
"661",661,56673.2090284593,83673.7896095836
"662",662,56759.0775269872,83705.6745314672
